Iteration,Start Point,End Point,Path Length (m)
1,"(175, 1302)","(696, 1154)",119580.31739553294
2,"(1280, 1015)","(1974, 805)",160847.9364188578
3,"(641, 430)","(143, 1158)",186855.6708123603
4,"(1767, 108)","(1954, 911)",179077.37367038068
5,"(1345, 1361)","(763, 636)",195545.82951012682
6,"(777, 782)","(1829, 867)",224351.89027078677
7,"(1057, 1704)","(1390, 415)",286752.30867899733
8,"(239, 1035)","(1547, 1194)",287787.6333808248
9,"(707, 1877)","(368, 300)",343483.6795288958
10,"(922, 1689)","(1573, 845)",223082.07768355316
11,"(985, 531)","(759, 1957)",305579.30726875627
12,"(1111, 476)","(1792, 668)",152768.54249492384
13,"(201, 1772)","(511, 706)",238881.24086713188
14,"(348, 1890)","(733, 742)",261494.44430272834
15,"(103, 419)","(1563, 1800)",423559.27804357844
16,"(1884, 401)","(897, 144)",218690.57710597708
17,"(794, 1249)","(1160, 1719)",125471.90462828675
18,"(65, 1542)","(1673, 1569)",338885.69978244917
19,"(682, 1641)","(1450, 1879)",173930.77913133244
20,"(653, 133)","(367, 1695)",336093.0157677411
21,"(850, 914)","(787, 1648)",157575.44007200503
22,"(404, 1836)","(353, 323)",313521.02448427666
23,"(988, 1820)","(1240, 40)",379195.9594928933
24,"(216, 1971)","(473, 723)",270890.5771059771
25,"(747, 22)","(267, 984)",232164.50198781712
26,"(1316, 1316)","(1932, 182)",277831.11088436533
27,"(1855, 940)","(1749, 1457)",112181.32752230963
28,"(681, 791)","(1021, 1589)",187766.5222413705
29,"(242, 1098)","(681, 1717)",162979.72567696692
30,"(8, 1658)","(1627, 1729)",338697.47468305833
31,"(1341, 1121)","(517, 541)",217277.20036002528
32,"(1422, 1170)","(1675, 1451)",86642.04896855324
33,"(1882, 451)","(1164, 1041)",192711.51493507603
34,"(381, 1749)","(1137, 1272)",190715.97385039332
35,"(1561, 271)","(1976, 329)",88701.9335983756
36,"(534, 744)","(1856, 1309)",319577.7054234136
37,"(1055, 177)","(728, 1183)",230620.93782909893
38,"(1858, 1262)","(888, 1197)",217099.9133448223
39,"(1283, 1116)","(213, 184)",295015.2954766495
40,"(1572, 807)","(1721, 570)",59743.564158718254
41,"(1527, 1152)","(1990, 507)",167356.17587574862
42,"(1654, 79)","(992, 1266)",292359.03294572316
43,"(112, 698)","(1623, 829)",318083.26112068526
44,"(422, 1612)","(930, 525)",261269.88437473337
45,"(125, 797)","(159, 353)",91616.65222413705
46,"(1820, 1544)","(557, 85)",423570.6345359769
47,"(261, 1323)","(1163, 1700)",212383.17446550756
48,"(744, 460)","(1238, 973)",145095.87283771564
49,"(1401, 877)","(1982, 1687)",216191.91898578664
50,"(472, 276)","(1268, 379)",168561.22650963196
51,"(772, 1196)","(165, 573)",177091.41392239835
52,"(1501, 1526)","(1671, 788)",162580.31739553297
53,"(1448, 633)","(298, 394)",250530.77913133244
54,"(960, 208)","(1246, 1028)",187693.01576774105
55,"(1321, 1879)","(68, 360)",408401.9187306977
56,"(937, 1380)","(350, 762)",177177.7054234136
57,"(592, 986)","(507, 1100)",29841.63056034263
58,"(474, 276)","(105, 1447)",265120.4327657106
59,"(58, 1477)","(572, 49)",328181.1542119543
60,"(279, 692)","(1626, 596)",280832.29432149744
61,"(9, 1684)","(1287, 1345)",284015.0503787943
62,"(21, 1591)","(1869, 1425)",389708.23945689085
63,"(1491, 593)","(1216, 1749)",256632.71272970806
64,"(1645, 695)","(442, 297)",277551.29855222075
65,"(800, 323)","(1826, 411)",217460.72144624358
66,"(1039, 542)","(1810, 1413)",249804.11229460652
67,"(1500, 596)","(1955, 105)",135893.4341759517
68,"(842, 1974)","(158, 218)",407864.4153326394
69,"(1799, 242)","(727, 1855)",411407.38777279167
70,"(1183, 1633)","(544, 1145)",168461.55826266485
71,"(836, 1628)","(473, 706)",215368.96090313443
72,"(1874, 1968)","(626, 1982)",259872.49634685277
73,"(906, 1847)","(1714, 818)",273088.38354206836
74,"(555, 542)","(935, 137)",112480.23074035527
75,"(61, 174)","(1556, 437)",320787.6333808248
76,"(395, 1921)","(1314, 660)",328449.6100517003
77,"(1794, 1383)","(851, 1008)",230236.5799264593
78,"(1189, 846)","(1594, 675)",95331.7892581091
79,"(1561, 677)","(413, 890)",252947.43135546945
80,"(1058, 905)","(1454, 35)",206805.71413994912
81,"(940, 1665)","(1455, 1666)",107879.393923934
82,"(1976, 728)","(566, 1649)",359575.0934512942
83,"(966, 809)","(1948, 1344)",248478.2104868019
84,"(1101, 866)","(1873, 199)",209656.08922057095
85,"(1669, 692)","(1063, 443)",143544.99269370554
86,"(297, 1033)","(257, 1779)",152513.70849898475
87,"(1130, 198)","(1167, 1847)",337007.31598529185
88,"(90, 1366)","(656, 854)",160221.35623730952
89,"(419, 140)","(1687, 1258)",368248.5999249237
90,"(122, 1659)","(1722, 1610)",335863.16010800755
91,"(1247, 1942)","(1684, 1966)",94281.83258569795
92,"(210, 629)","(356, 1439)",174095.0360212944
93,"(431, 32)","(1068, 1702)",387922.2797089085
94,"(1732, 382)","(787, 337)",200252.39533417512
95,"(516, 203)","(1148, 1387)",289625.2234340608
96,"(1500, 369)","(1886, 417)",81176.45019878172
97,"(1955, 1732)","(1630, 1050)",166035.151391472
98,"(47, 1957)","(220, 1380)",129731.7892581091
99,"(1509, 784)","(201, 1679)",340843.72260139574
100,"(939, 1832)","(765, 639)",255043.05909532995
101,"(67, 788)","(821, 1249)",189653.23215059633
102,"(244, 440)","(1460, 1151)",309560.4614807105
103,"(915, 1835)","(1741, 1485)",196154.74734076133
104,"(382, 1459)","(455, 897)",118447.5180106472
105,"(1362, 702)","(1412, 204)",104073.50647362943
106,"(1747, 1602)","(1879, 1500)",34849.95667241114
107,"(414, 454)","(204, 398)",46639.19189857867
108,"(430, 1271)","(689, 736)",128456.26253092632
109,"(1353, 436)","(1216, 1955)",318297.47468305833
110,"(648, 1167)","(175, 1679)",142901.76028802022
111,"(141, 475)","(1492, 1861)",400533.2895805962
112,"(757, 650)","(300, 102)",147927.74875100245
113,"(1385, 850)","(1089, 1466)",147721.44289248725
114,"(193, 387)","(1550, 1264)",356441.2839396318
115,"(1821, 622)","(990, 955)",193786.62325404817
116,"(224, 1884)","(1160, 947)",271889.8120770556
117,"(1783, 435)","(955, 1899)",364771.226254543
118,"(717, 38)","(137, 1523)",345048.7732352791
119,"(274, 1780)","(1236, 817)",280132.45276417496
120,"(1138, 582)","(1532, 1260)",182907.64773832477
121,"(595, 848)","(1458, 702)",186323.46314604057
122,"(394, 1891)","(540, 849)",221489.1485709898
123,"(1687, 1028)","(1991, 118)",207184.18459228423
124,"(645, 333)","(1308, 1150)",221027.66209582472
125,"(938, 1580)","(414, 1593)",116929.35059634515
126,"(266, 1205)","(402, 3)",254317.575695736
127,"(1630, 1490)","(1899, 1924)",109084.68965567254
128,"(1, 321)","(291, 1798)",319424.38661763957
129,"(661, 1378)","(1276, 434)",239865.42545941612
130,"(934, 191)","(1983, 779)",264943.3908483628
131,"(1379, 309)","(695, 724)",171745.41110191614
132,"(997, 427)","(1095, 862)",95801.42853498728
133,"(1536, 38)","(446, 668)",270190.90885901
134,"(1939, 1095)","(1323, 1381)",146893.01576774105
135,"(1401, 1864)","(614, 768)",285265.84386762674
136,"(1993, 336)","(1827, 661)",86946.00282048219
137,"(447, 1178)","(1556, 506)",277870.302782944
138,"(62, 47)","(809, 1129)",282618.3258569795
139,"(138, 138)","(1449, 1075)",343666.26227583736
140,"(1545, 1460)","(374, 734)",301789.8987322334
141,"(1505, 1005)","(1522, 1134)",29148.023074035525
142,"(22, 314)","(796, 1280)",257320.2594553552
143,"(1824, 1689)","(224, 18)",489429.7541368779
144,"(1156, 1142)","(431, 921)",163639.61030678925
145,"(319, 543)","(1743, 1205)",351362.4817342638
146,"(1398, 518)","(47, 1959)",406697.9648787688
147,"(60, 762)","(1563, 1006)",325953.31880577403
148,"(863, 469)","(1723, 889)",209182.16433873086
149,"(930, 1528)","(696, 1691)",60303.36213336292
150,"(1689, 614)","(1838, 903)",72729.35059634515
151,"(1363, 412)","(823, 592)",124891.58723275378
152,"(1924, 1044)","(232, 123)",414932.452764175
153,"(1342, 768)","(940, 1063)",104838.60018001264
154,"(1854, 1146)","(974, 1134)",188769.5526217005
155,"(876, 929)","(769, 1979)",221506.81092190353
156,"(1830, 1331)","(1325, 1190)",124746.00282048219
157,"(1196, 1040)","(842, 1436)",108526.32021601517
158,"(1456, 245)","(508, 677)",228834.14126469538
159,"(946, 653)","(889, 952)",64522.03461105329
160,"(1235, 1496)","(707, 1789)",129990.07204258878
161,"(255, 1325)","(1335, 723)",268279.6390217892
162,"(564, 604)","(1756, 938)",267512.1066536421
163,"(412, 101)","(318, 1928)",374512.69837220805
164,"(1316, 1029)","(725, 702)",146966.52224137046
165,"(216, 658)","(1693, 512)",310546.00282048224
166,"(399, 465)","(1544, 1144)",295263.4052058628
167,"(1798, 1273)","(1860, 1708)",92301.93359837563
168,"(200, 121)","(468, 692)",136567.53236814716
169,"(180, 343)","(1355, 2)",263249.3649538451
170,"(1862, 1741)","(910, 824)",284119.2493285785
171,"(192, 211)","(558, 1523)",292720.4327657106
172,"(621, 1133)","(1741, 1859)",285666.8539944034
173,"(76, 1105)","(474, 1027)",86061.7315730203
174,"(122, 722)","(1618, 473)",322264.5886429949
175,"(1600, 688)","(1131, 1236)",154428.25381439077
176,"(618, 1874)","(1049, 1561)",112129.76900455578
177,"(1446, 371)","(576, 333)",184769.5526217005
178,"(1264, 587)","(276, 52)",242155.165748972
179,"(1776, 561)","(1702, 1010)",98912.69837220812
180,"(860, 631)","(1745, 357)",201044.48763031722
181,"(795, 1595)","(634, 100)",313234.7329832614
182,"(1490, 832)","(1136, 1511)",165789.06191581208
183,"(607, 1741)","(86, 922)",206961.05319927656
184,"(93, 1051)","(1519, 245)",353191.32726722065
185,"(332, 960)","(245, 683)",62607.31598529186
186,"(96, 991)","(591, 1170)",113828.8455329568
187,"(1285, 1672)","(446, 36)",397807.97949135775
188,"(1905, 204)","(1459, 568)",119354.74734076137
189,"(275, 1470)","(176, 1088)",84601.4285349873
190,"(936, 1896)","(1469, 111)",401155.16574897204
191,"(1408, 1308)","(1814, 345)",226234.14126469532
192,"(1621, 402)","(1514, 54)",78464.17023478424
193,"(440, 1844)","(1115, 182)",388318.83092036785
194,"(287, 797)","(1093, 1911)",290371.22625454294
195,"(759, 1958)","(1730, 1912)",199619.09088590098
196,"(728, 1121)","(1592, 1424)",206334.64632808368
197,"(1756, 1630)","(427, 1795)",284411.1831820431
198,"(1049, 455)","(813, 1295)",187550.8801440101
199,"(644, 498)","(1854, 155)",270415.0503787943
200,"(1486, 549)","(1632, 548)",32596.55121145938
